Room;Species ;PP;LI;DLI;Rep;MShFw;"FY
(kg/m2)";mHcm;"DW 
(kg/m2)";DM%;Tray 1;Tray 2;Tray 3;Tray 1;Tray 2;Tray 3;MFWt;Chll a (mg/g DW) ;"Chll b 
(mg/g DW) ";"Car
(mg/g DW)  ";"T. Chll a+b 
(mg/g DW) ";mg/kg NO3 FW;"Trolox 
(uM g/DW) ";"GA 
g/DW";mg CE  / g DW;Soluble Protein mg/ g FW;"Energy Cosuption
kw/h";N;P;K;Ca;Mg;S;Mn;Fe;Cu;B;Al;Zn;Na
104;Radish;16;150;8,64;1;0,24;5,03;11,35;0,24;4,77;4,84;4,62;5,1;99,44;93,8;96,5;96,58;1,22;0,52;0,94;1,64;2286,07;79,38;14,9;8,17;0,2;7,05;7,05;1,36;4,18;1,65;0,54;1,76;72,99;112,31;10,21;29,97;12,12;73,37;12228,19
104;Radish;24;300;12,96;1;0,26;5,04;9,99;0,28;5,62;5,72;4,72;5,04;99,72;94,78;95,58;96,69;1,55;0,69;1,37;2,12;1192,46;84,64;15,6;11,29;0,23;21,13;5,85;0,95;2,82;1,38;0,43;1,38;53,14;88,2;9,1;22,02;6,13;64,13;7892,84
104;Radish;16;300;17,28;1;0,25;5,32;10,87;0,27;5,14;5,28;4,98;5,02;100,04;104,36;101,88;102,09;1,45;0,65;1,21;1,98;1823,44;83,94;15,9;6,59;0,27;14,21;6,8;1,18;3,33;1,54;0,5;1,57;65,4;106,42;10,92;26,35;10,24;73,7;9736,53
104;Radish;24;150;25,92;1;0,25;5,44;11,73;0,27;5,04;5,06;5,24;4,66;106,28;107,34;99,7;104,44;1,26;0,77;1,45;1,93;2261,75;82,62;16,8;7,17;0,14;10,74;6,75;1,08;3,58;1,47;0,48;1,56;68,57;101,05;9,17;24,2;7,78;68,69;9421,73
104;Radish;16;150;8,64;2;0,26;5,25;11,65;0,25;4,74;5,3;5,7;4,42;97,5;102,92;101,78;100,73;1,22;0,59;1,11;1,71;2509,2;82,8;14,1;6,93;0,23;7,05;6,99;1,27;3,64;1,5;0,52;1,65;70,6;102,43;8,57;27,68;6,56;72,68;10771,66
104;Radish;24;300;12,96;2;0,23;4,99;10,25;0,29;5,91;4,46;5,06;4,38;92,78;96,58;98,24;95,87;1,33;0,63;1,34;1,85;1206,7;88,06;14,6;6,7;0,23;21,13;5,41;0,97;2,59;1,13;0,4;1,41;49,26;84,73;8,46;21,03;4,48;61,05;6328,56
104;Radish;16;300;17,28;2;0,26;5,27;10,17;0,26;4,95;5,28;4,44;5,82;100,14;98,02;105,12;101,09;1,19;0,56;1,16;1,66;1902,42;84,29;15,5;8,95;0,27;14,21;6,81;1,16;3,49;1,51;0,48;1,49;60,99;97,03;9,86;25,61;6,47;69,56;9874,78
104;Radish;24;150;25,92;2;0,3;5,45;11,53;0,26;4,77;6,14;5,54;6,18;106,06;101,68;106,22;104,65;1,11;0,58;1,25;1,6;2018,97;82,45;14,6;6,22;0,2;10,74;6,65;1,15;3,43;1,48;0,49;1,53;69,37;97,13;8,56;26,27;4,95;69,05;9865,07
105;Radish;16;150;8,64;3;0,21;4,22;9,47;0,24;5,67;4,36;3,78;4,54;81,54;80,56;80,84;80,98;1,29;0,58;1,12;1,77;1826,49;82,62;16,7;8,4;0,24;7,61;6,91;1,13;3,4;1,22;0,45;1,65;60,96;106,51;9,22;21,34;10,36;67,15;5736,83
105;Radish;24;300;12,96;3;0,25;4,7;9,63;0,28;5,95;5,2;4,72;4,9;88,1;93,36;89,24;90,23;1,44;0,66;1,34;1,98;1615,33;87,62;14,6;7,79;0,24;24,92;6,37;0,98;3,3;1,41;0,42;1,37;62,21;88,68;7,09;19,66;5,84;61,22;7823,2
105;Radish;16;300;17,28;3;0,21;4,02;8,95;0,24;5,91;4,46;3,38;4,46;77,16;77,08;77,12;77,12;1,44;0,63;1,23;1,95;1062,42;90,96;14,3;6,77;0,23;15,29;6,46;1,12;2,92;1,11;0,46;1,53;47,63;96,61;8,52;20,76;6,02;58,56;6860,97
105;Radish;24;150;25,92;3;0,26;4,88;10,07;0,27;5,46;5,38;5,72;4,76;95,22;92,64;93,04;93,63;1,21;0,6;1,29;1,72;1555,56;87,01;15,8;6,58;0,27;13,99;6,34;1,09;3,25;1,49;0,48;1,46;67,5;90,21;9,17;23,43;5,38;68,34;9513,43
105;Radish;16;150;8,64;4;0,24;4,31;9,73;0,23;5,28;5,02;5,04;4,18;86,44;80,76;81,14;82,78;1,21;0,61;1,24;1,72;2076,72;82,1;15,23;5,23;0,21;7,61;6,93;1,17;3,46;1,27;0,47;1,58;56,42;94,06;8,44;22,77;4,84;63,08;8395,24
105;Radish;24;300;12,96;4;0,25;4,74;9,6;0,27;5,65;5,36;4,56;5,06;90,26;91,56;91,32;91,05;1,49;0,67;1,38;2,04;1086,31;89,1;15,6;6,34;0,25;24,92;6,02;0,99;2,83;1,22;0,42;1,39;58,14;89,8;6,79;21,53;4,39;59,52;7182,5
105;Radish;16;300;17,28;4;0,22;4,4;9,31;0,26;5,81;4,66;4,02;4,38;77,86;90,04;85,38;84,43;1,27;0,62;1,25;1,78;1202,06;86,22;16;7,24;0,34;15,29;6,44;1,13;3,03;1,15;0,45;1,59;50,5;88,86;8,17;21,75;6,32;60;6869,14
105;Radish;24;150;25,92;4;0,24;4,79;10,01;0,27;5,56;3,72;5,12;5,54;90,66;94,64;90,82;92,04;1,19;0,61;1,32;1,71;1440,75;80,87;16,9;6,46;0,31;13,99;6,27;1,12;3,14;1,37;0,48;1,55;64,2;97,16;9,34;23,14;6,49;69,86;8228,87
104;Sunflower;16;150;8,64;1;0,55;3,54;8,21;0,29;8,3;11;9,7;12,12;67,7;69;67,1;67,93;0,49;0,25;0,59;0,7;1472,62;43,42;8;9,65;0,48;7,5;4,81;1,15;2,6;0,97;0,64;0,42;63,98;109,08;23,24;19,33;6,21;95,02;571,37
104;Sunflower;24;300;12,96;1;0,54;3,42;7,67;0,29;8,46;11,1;10,34;11,12;61,02;67,84;67,92;65,59;0,68;0,35;0,77;0,97;1270,1;59,47;9,6;8,77;0,45;22,02;4,33;1,08;2,6;1,1;0,59;0,45;66,95;100,71;22,07;18,89;5,19;88,82;687,67
104;Sunflower;16;300;17,28;1;0,57;3,52;7,59;0,29;8,32;12,2;12,74;9,4;70,65;62,5;69,4;67,52;0,65;0,42;0,74;1,02;1331,64;48,94;8,5;8,98;0,51;15,12;4,5;1,15;2,42;1,02;0,62;0,43;78,25;95,61;22,32;19,08;6,46;94,78;519,56
104;Sunflower;24;150;25,92;1;0,63;3,63;8,76;0,29;7,96;12,04;12,94;13,08;69,1;68,98;71,18;69,75;0,56;0,28;0,68;0,8;1388,26;49,29;8,3;7,87;0,34;11,19;4,7;1,14;2,65;1,02;0,64;0,43;65,18;99,25;22,6;19,52;4,79;89,88;728,33
104;Sunflower;16;150;8,64;2;0,56;3,88;8,36;0,3;7,71;9,98;11,12;12,38;79,92;74,34;68,94;74,4;0,49;0,24;0,6;0,69;1842,74;44,55;8,1;7,92;0,43;7,5;4,91;1,18;2,8;1,07;0,67;0,46;63,9;105,08;23,23;19,51;4,16;96,51;680,22
104;Sunflower;24;300;12,96;2;0,57;3,55;7,71;0,29;8,06;11,6;11,2;11,14;70,2;74,28;60,16;68,21;0,84;0,42;0,89;1,18;1338,72;58,68;9,1;11,22;0,4;22,02;4,51;1,07;2,68;1,2;0,6;0,46;71,66;100,67;20,81;18,6;4,11;87,39;858,42
104;Sunflower;16;300;17,28;2;0,61;4,1;8,31;0,33;8,12;12,28;12,2;11,98;76,88;85,78;73,58;78,75;0,66;0,32;0,71;0,93;1703,24;43,85;8,7;11,46;0,42;15,12;4,56;1,12;2,47;1,11;0,66;0,45;80,55;99,8;21,57;19,24;5,78;91,65;641,25
