Species ;Treat;Rep;ShH;DM;Fresh yield (kg/m2);DW (kg/m2);TAA;Carot  ;Chlab;Mn;Fe;Cu;Bor;Zn
Radish;1W100;1;9.47;4.85;4.73;0.23;85.34;1.14;0.97;62;125;9;20;90
Radish;2R100;1;8.67;4.86;4.79;0.23;83.84;1.05;1.12;57;121;8;19;95
Radish;3B100;1;9.77;4.72;4.72;0.22;92.95;0.98;0.95;65;127;9;20;91
Radish;4RB50;1;8.67;4.50;4.71;0.21;79.33;1.15;1.17;67;131;9;20;93
Radish;5BR7525;1;9.17;4.75;4.70;0.22;90.12;1.10;1.18;67;127;9;19;107
Radish;6BR2575;1;9.33;4.78;4.74;0.23;87.20;1.11;1.22;69;128;9;19;93
Radish;1W100;2;10.40;4.51;4.72;0.21;83.31;1.14;1.23;55;121;9;19;85
Radish;2R100;2;9.67;4.89;4.75;0.23;83.22;1.10;1.15;61;121;8;19;87
Radish;3B100;2;9.33;4.26;4.72;0.20;92.51;1.07;0.99;63;122;8;17;83
Radish;4RB50;2;9.00;5.07;4.72;0.24;95.78;1.11;1.10;68;138;9;20;96
Radish;5BR7525;2;9.10;4.62;4.75;0.22;90.92;1.04;1.06;59;127;9;19;89
Radish;6BR2575;2;9.33;5.07;4.70;0.24;83.31;0.95;1.07;58;129;8;19;86
Radish;1W100;3;11.40;4.61;5.17;0.24;102.50;0.96;0.90;63;126;7;15;80
Radish;2R100;3;13.23;4.50;5.27;0.24;86.58;1.00;0.92;71;122;7;16;83
Radish;3B100;3;13.30;4.56;4.91;0.22;110.99;1.02;1.13;87;135;7;15;86
Radish;4RB50;3;10.77;5.10;4.52;0.23;85.87;1.15;1.27;96;127;6;15;84
Radish;5BR7525;3;11.83;4.53;5.26;0.24;80.57;1.13;0.90;97;143;7;16;87
Radish;6BR2575;3;12.57;4.78;5.15;0.25;98.70;1.18;1.15;86;130;7;17;85
Radish;1W100;4;10.90;4.53;5.15;0.23;81.45;1.13;1.33;91;127;6;15;81
Radish;2R100;4;12.67;4.83;5.24;0.25;78.80;1.06;1.20;84;130;7;17;82
Radish;3B100;4;13.00;4.81;4.93;0.24;87.11;0.98;1.20;72;138;7;17;84
Radish;4RB50;4;11.67;4.62;5.39;0.25;95.78;1.12;1.30;95;138;7;17;90
Radish;5BR7525;4;11.67;4.67;4.96;0.23;72.96;1.12;1.39;90;144;7;17;93
Radish;6BR2575;4;12.33;4.61;5.23;0.24;96.49;1.09;1.07;101;154;7;18;92
Broc;1W100;1;7.33;5.27;1.64;0.09;86.41;1.28;1.47;80;129;12;23;119
Broc;2R100;1;8.43;5.01;1.64;0.08;76.15;1.25;1.47;100;125;13;24;121
Broc;3B100;1;7.23;4.93;1.64;0.08;91.71;1.07;1.29;130;130;12;21;121
Broc;4RB50;1;6.07;5.20;1.63;0.08;91.45;1.18;1.01;139;141;13;21;136
Broc;5BR7525;1;6.57;5.41;1.63;0.09;80.13;1.25;1.29;150;148;14;22;138
Broc;6BR2575;1;6.47;5.13;1.64;0.08;78.80;1.16;1.25;136.36;162.33;11.66;19;119.33
Broc;1W100;2;7.90;5.38;1.65;0.09;108.51;1.27;1.34;102;128;12;24;130
Broc;2R100;2;7.37;5.02;1.64;0.08;89.06;1.09;0.94;91;125;12;23;118
Broc;3B100;2;8.10;3.53;1.64;0.06;108.42;1.63;2.33;114;129;13;23;137
Broc;4RB50;2;6.60;5.07;1.64;0.08;117.09;1.21;1.10;112;160;13;23;143
Broc;5BR7525;2;6.63;5.24;1.64;0.09;85.61;1.16;1.19;95;150;12;23;133
Broc;6BR2575;2;7.33;4.78;1.65;0.08;97.02;1.12;1.04;127;148;11;23;131
Broc;1W100;3;10.10;4.72;1.90;0.09;89.15;0.99;1.08;175;140;11;17;117
Broc;2R100;3;9.23;4.75;1.84;0.09;85.34;0.90;1.07;121;145;12;18;113
Broc;3B100;3;11.17;4.48;1.79;0.08;103.47;0.89;1.06;177;162;14;17;120
Broc;4RB50;3;7.63;5.12;1.50;0.08;96.04;1.02;1.16;159;140;12;18;114
Broc;5BR7525;3;8.77;4.88;1.70;0.08;81.63;1.18;1.19;169;171;11;17;116
Broc;6BR2575;3;9.67;5.11;1.74;0.09;106.04;0.99;1.20;127;165;13;17;111
Broc;1W100;4;9.73;4.69;1.94;0.09;84.19;1.18;1.31;157;142;12;17;113
Broc;2R100;4;9.07;4.91;1.81;0.09;83.93;1.10;1.23;130;147;12;19;113
Broc;3B100;4;9.67;4.65;1.60;0.07;105.24;1.00;1.23;121;137;11;17;113
Broc;4RB50;4;8.57;4.74;1.72;0.08;76.15;1.04;0.92;106;131;11;17;103
Broc;5BR7525;4;8.23;4.46;1.67;0.07;77.83;1.07;0.94;135;174;11;16;118
Broc;6BR2575;4;9.27;4.91;1.70;0.08;98.43;1.01;0.88;155;174;11;17;116
