2/26/2026,,,,,,,,,,,,
SN,LED Treatment,Rep,"Shoot 
Height",n. of leaves,Total Weight (g),"FW (g) 
Oven","FW (g)
Post-Harv","FW (g)
Liq N","Leaf Area 
(cm2)","DW 
(g)","DM
 (%)",Notes
1,R65B15G10F10,1,9.48,308,48.69,16.7,16.96,15.03,786.5,0.92,5.508982036,
2,R65B15FR20,1,11.63,307,58.36,21.57,19.52,17.27,959,1.12,5.192396847,
3,R65B15G20,1,9.13,266,44.75,15.68,16.11,12.96,715.2,0.93,5.931122449,
4,R65B15G15FR5,1,9.53,238,41.07,14.25,14.25,12.57,695.9,0.82,5.754385965,
5,R65B15G5F15,1,11.23,289,53.91,17.93,17.99,17.99,826.6,1,5.577244841,
6,R85B15,1,6.75,264,42.18,14.61,14.47,13.1,667.1,0.93,6.36550308,
7,R65B15G10F10,2,10.95,289,55.12,21.72,16.88,16.52,917.1,1.17,5.386740331,
8,R65B15FR20,2,12.05,305,57.95,21.22,15.75,20.98,1026.7,1.1,5.183788878,
9,R65B15G20,2,8.05,270,43.53,14.7,14.5,16.3,786.4,0.94,6.394557823,
10,R65B15G15FR5,2,8.88,256,41.5,13.6,13.84,14.06,674.8,0.79,5.808823529,
11,R65B15G5F15,2,10.60,287,47.37,15.78,15.87,15.72,763.2,0.87,5.513307985,
12,R85B15,2,6.45,245,39.31,13.31,13.05,12.95,643.9,0.87,6.536438768,
13,R65B15G10F10,3,9.05,305,48.38,16.45,16.71,15.22,838.4,0.93,5.653495441,
14,R65B15FR20,3,10.43,269,49.12,16.8,16.33,15.99,994.9,0.97,5.773809524,
15,R65B15G20,3,6.43,240,34.94,11.77,11.83,11.34,559.1,0.82,6.966864911,
16,R65B15G15FR5,3,8.25,286,40.2,13.9,13.51,12.79,718.3,0.84,6.043165468,
17,R65B15G5F15,3,9.83,288,50.25,16.59,15.07,18.59,928.1,0.96,5.786618445,
18,R85B15,3,6.80,302,47.01,15.33,16.36,15.32,742,0.98,6.392694064,
19,R65B15G10F10,4,9.33,296,50.11,16.64,16.85,16.62,836.7,0.97,5.829326923,
20,R65B15FR20,4,9.00,247,41.74,14.69,14.46,12.59,944.8,0.85,5.786249149,
21,R65B15G20,4,7.45,263,41.41,14.26,13.61,13.54,717.7,0.94,6.591865358,
22,R65B15G15FR5,4,8.58,295,51.92,17.25,17.08,17.59,841.7,0.97,5.623188406,
23,R65B15G5F15,4,9.83,275,47.82,15.81,15.88,16.13,926.1,0.89,5.629348514,
24,R85B15,4,6.75,297,45.72,15.55,15.32,14.85,810.2,0.99,6.366559486,
