Species ;Treatment;PP;LI;DLI;Rep;"FY
(kg/m2)";mHcm;"DW 
(kg/m2)";DM%;Chll a (mg/g DW) ;"Chll b 
(mg/g DW) ";"Car
(mg/g DW)  ";"T. Chll a+b 
(mg/g DW) ";mg/kg NO3 FW;"Trolox 
(uM g/DW) ";"GA 
g/DW";mg CE  / g DW;Soluble Protein mg/ g FW;N;P;K;Ca;Mg;S;Mn;Fe;Cu;B;Al;Zn;Na
Radish;T1 - 16/150;16;150;8,64;1;5,030208333;11,34666667;0,239774613;4,766693484;1,221404;0,5184897;0,936807588;1,642458;2286,074966;79,37814383;14,9;8,1738;0,204535715;7,047;1,356132075;4,176493711;1,650943396;0,540487421;1,759040881;72,98545597;112,3132862;10,21029874;29,97248428;12,11674528;73,36871069;12228,19379
Radish;T2 -24/300;24;300;12,96;1;5,036111111;9,986666667;0,282814102;5,615724027;1,55228;0,6894328;1,371288452;2,117632;1192,460391;84,64088625;15,6;11,2934;0,231611237;5,854;0,949697349;2,817783344;1,377582968;0,427885619;1,377582968;53,14130662;88,19661866;9,100396577;22,02045502;6,126069714;64,13066166;7892,840743
Radish;T3 - 16/300;16;300;17,28;1;5,317361111;10,86666667;0,27320308;5,137944822;1,453484;0,6458843;1,209253601;1,983182;1823,436133;83,93918726;15,9;6,5944;0,269442923;6,797;1,181761138;3,325664087;1,537335286;0,501987032;1,568709475;65,40472704;106,4212508;10,91821795;26,35431918;10,23844384;73,69797114;9736,530015
Radish;T4 - 24/150;24;150;25,92;1;5,439583333;11,73333333;0,274333522;5,043281897;1,262828;0,7670178;1,450394776;1,927212;2261,752339;82,62350165;16,8;7,1701;0,142184974;6,751;1,082962676;3,577644556;1,469735061;0,483465481;1,556758847;68,56507445;101,0539547;9,166505512;24,20228196;7,783794237;68,69077548;9421,726939
Radish;T1 - 16/150;16;150;8,64;2;5,246527778;11,65333333;0,248604701;4,738461538;1,220748;0,5889655;1,112491555;1,71175;2509,197676;82,7989264;14,1;6,929;0,229639116;6,994;1,268767181;3,637132586;1,501374498;0,518079932;1,649397336;70,59632058;102,4318038;8,574751533;27,68027067;6,555297103;72,67921336;10771,6642
Radish;T2 -24/300;24;300;12,96;2;4,993055556;10,25333333;0,294912098;5,906445355;1,32515;0,6261112;1,34140753;1,845028;1206,700206;88,06166882;14,6;6,7026;0,2320722;5,41;0,965839772;2,592517283;1,128507523;0,396502643;1,413176088;49,25782839;84,72956486;8,458723058;21,03497357;4,48352989;61,05124034;6328,558357
Radish;T3 - 16/300;16;300;17,28;2;5,265277778;10,17333333;0,260792668;4,953065708;1,191066;0,5601124;1,156143685;1,655716;1902,41547;84,29003675;15,5;8,9513;0,274124561;6,808;1,158573443;3,485794882;1,511182752;0,483578481;1,491033649;60,99133589;97,02800725;9,862986097;25,60951038;6,46786218;69,56477937;9874,783397
Radish;T4 - 24/150;24;150;25,92;2;5,450694444;11,53333333;0,260046331;4,770884405;1,107891;0,5833906;1,248689165;1,601974;2018,966718;82,44807691;14,6;6,2155;0,195422147;6,647;1,148392251;3,425204713;1,477930897;0,489314959;1,527860995;69,37287797;97,13401238;8,558018774;26,2732175;4,953065708;69,05332534;9865,068904
Radish;T1 - 16/150;16;150;8,64;3;4,217708333;9,466666667;0,238972437;5,665930831;1,290921;0,5835256;1,123429479;1,771174;1826,487167;82,62350165;16,7;8,3953;0,23816587;6,91;1,133175049;3,399525146;1,219512195;0,453270019;1,651197928;60,96481761;106,5076624;9,216490395;21,33606734;10,36045759;67,14871573;5736,833585
Radish;T2 -24/300;24;300;12,96;3;4,699652778;9,626666667;0,279525318;5,947786606;1,438715;0,657772;1,336260655;1,98133;1615,327788;87,62310695;14,6;7,7901;0,23903456;6,369;0,979192166;3,304773562;1,407588739;0,418196654;1,366789066;62,20930233;88,67809058;7,088943288;19,65524276;5,844553244;61,21991024;7823,204814
Radish;T3 - 16/300;16;300;17,28;3;4,016666667;8,946666667;0,237376879;5,909797823;1,442341;0,62574;1,227775131;1,95291;1062,415329;90,95617714;14,3;6,7715;0,225748566;6,457;1,116965227;2,91886196;1,106427819;0,463645943;1,527924131;47,62908325;96,60695469;8,524762908;20,75869336;6,016859852;58,55637513;6860,969442
Radish;T4 - 24/150;24;150;25,92;3;4,876736111;10,06666667;0,266320393;5,461037597;1,209277;0,6040591;1,290252448;1,716124;1555,555817;87,00912033;15,8;6,5845;0,267672781;6,338;1,09354699;3,248159376;1,494153313;0,476396709;1,461671719;67,49675184;90,21221308;9,170636639;23,4300563;5,381117367;68,34127328;9513,425725
Radish;T1 - 16/150;16;150;8,64;4;4,311458333;9,733333333;0,227443892;5,275335493;1,206474;0,6072605;1,237597913;1,71671;2076,719149;82,09722741;15,23333333;5,2314;0,214706681;6,928;1,168831169;3,456543457;1,268731269;0,46953047;1,578421578;56,42357642;94,05594406;8,441558442;22,76723277;4,835164835;63,07692308;8395,244755
Radish;T2 -24/300;24;300;12,96;4;4,742013889;9,6;0,267940071;5,650343452;1,493342;0,6710838;1,378207366;2,044992;1086,307236;89,09722741;15,6;6,3385;0,24688015;6,016;0,988347898;2,829796088;1,217228464;0,416146484;1,39409072;58,13566375;89,80441115;6,793591344;21,52517686;4,390345402;59,51935081;7182,50104
Radish;T3 - 16/300;16;300;17,28;4;4,397222222;9,306666667;0,25527157;5,805291549;1,26772;0,6160008;1,253793183;1,781952;1202,055385;86,21970897;16;7,2439;0,342480536;6,435;1,125054089;3,028991778;1,146689745;0,454348767;1,590220684;50,49762008;88,85763739;8,167459974;21,75465167;6,317611424;59,99567287;6869,136737
